% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=716060, Wed Feb 26 14:01:56 2025, <python>{}</python>
1 20 2.058957438159006 0 0 2.551799193329835
2 40 2.458966104380816 0 0 3.2436705368190055
3 60 2.0415645659945114 0 0 1.561691900133757
4 80 1.7482102454952333 0 0 0.8491005669733055
5 100 1.5613326969467922 0 0 0.6321607839274579
6 120 1.4621658460002271 0 0 0.5089075738955109
7 140 1.151111742039037 0 0 0.3506067412688878
8 160 1.5588197404698876 0 0 0.5412199191115388
9 180 1.3527380571881173 0 0 0.31099751009683724
10 200 1.1136025375117589 0 0 0.15056949801935907
11 220 1.0940731178012368 0 0 0.10484928529863359
12 240 0.8410627620611566 0 0 0.04383920861251552
13 260 0.7659573906529548 0 0 0.026229550134679567
