timestamp,sme,s_m_distance,orbital_p,average_power,right_flag,eclipse_l,full_off,average_xtx,gsep_dur,lvah,sh,thp2
1597582223,39.586705738,206731852.27448612,25140,116.04769074825066,1,0,1,1.6803171276822941,25140,0.6372451914491658,716.1180562574494,98.20205922552975
1597607363,39.586705738,206731852.27448612,25140,98.17589968394886,1,0,1,2.303534087778125,25140,0.6372451914491658,716.1180562574494,93.90307437655241
1597632503,39.2655563354,206731852.27448612,25139,82.29386813972171,1,0,1,4.738191855978709,25139,0.6329155600225229,716.1180562574494,77.44060171132386
1597657642,39.2655563354,206731852.27448612,25138,108.44712234830847,1,0,1,0.7562381940475087,25138,0.6329155600225229,716.1180562574494,104.90833695931809
1597682780,39.2655563354,206731852.27448612,25139,128.980016433121,1,0,1,0.021658276475159288,25139,0.6329155600225229,716.1180562574494,109.97550961059022
1597707919,39.2655563354,206731852.27448612,25140,105.89128944020352,1,0,1,0.591793821127229,25140,0.6329155600225229,716.1180562574494,106.04268328322937
1597733059,38.9341828598,206731852.27448612,25142,107.65552471337577,1,0,1,0.662164240385994,25142,0.6284272484128974,716.1180562574494,105.90135990497112
1597758201,38.9341828598,206731852.27448612,25140,100.91253002544546,1,0,1,2.3277827597086302,25140,0.6284272484128974,716.1180562574494,94.41183179963357
1597783341,38.9341828598,206731852.27448612,25138,123.2626145038167,1,0,1,0.6051454571412276,25138,0.6284272484128974,716.1180562574494,106.29467860611604
1597808479,38.9341828598,206914973.66005346,25137,113.56033694267497,1,0,1,0.6216040668522276,25137,0.6284272484128974,714.851076879974,106.40465647744759
1597833616,38.9341828598,206914973.66005346,25138,116.2918913486005,1,0,1,0.022383419652671786,25138,0.6284272484128974,714.851076879974,110.5381134409891
1597858754,38.9341828598,206914973.66005346,25139,116.81055719745217,1,0,1,1.3401294944254776,25139,0.6284272484128974,714.851076879974,101.44822858070455
1597883893,38.2399415401,206914973.66005346,25141,117.27025101781163,1,0,1,0.6837879389313065,25141,0.6189560748366844,714.851076879974,106.70181461224834
1597909034,38.2399415401,206914973.66005346,25140,109.82707684478368,1,0,1,0.6242683288867674,25140,0.6189560748366844,714.851076879974,107.11238415412853
1597934174,38.2399415401,206914973.66005346,25138,117.09060050955412,1,0,1,0.5555667060560515,25138,0.6189560748366844,714.851076879974,107.58629172494301
1597959312,38.2399415401,206914973.66005346,25137,138.31685394402035,1,0,1,0.03849421409033012,25137,0.6189560748366844,714.851076879974,111.15308619799745
1597984449,37.8766890873,206914973.66005346,25136,95.53134165605103,1,0,1,2.2182724229261086,25136,0.6139641086881418,714.851076879974,96.49956452219192
1598009585,37.8766890873,206914973.66005346,25138,115.64367837150118,1,0,1,0.04942134400127127,25138,0.6139641086881418,714.851076879974,111.46041848635926
1598034723,37.8766890873,206914973.66005346,25139,111.97639477706991,1,0,1,1.6479681240242003,25139,0.6139641086881418,714.851076879974,100.43355492564459
1598059862,37.5024439987,206914973.66005346,25140,99.89479809160309,1,0,1,2.3843880644300195,25140,0.6087952695955191,714.851076879974,95.74995786088556
